Tip pomoŝi,Kategorija,Mesjac,God,Količestvo
Fizičeskie terapevty,Konsulʹtacii v Službe,5,2018,6
Fizičeskie terapevty,Konsulʹtacii v Službe,6,2018,7
Fizičeskie terapevty,Konsulʹtacii v Službe,7,2018,9
Medicinskie sëstry,Konsulʹtacii v Službe,7,2017,10
Medicinskie sëstry,Konsulʹtacii v Službe,8,2017,6
Medicinskie sëstry,Konsulʹtacii v Službe,9,2017,18
Medicinskie sëstry,Konsulʹtacii v Službe,10,2017,12
Medicinskie sëstry,Konsulʹtacii v Službe,11,2017,12
Medicinskie sëstry,Konsulʹtacii v Službe,12,2017,15
Medicinskie sëstry,Konsulʹtacii v Službe,1,2018,8
Medicinskie sëstry,Konsulʹtacii v Službe,2,2018,11
Medicinskie sëstry,Konsulʹtacii v Službe,3,2018,8
Medicinskie sëstry,Konsulʹtacii v Službe,4,2018,
Medicinskie sëstry,Konsulʹtacii v Službe,5,2018,9
Medicinskie sëstry,Konsulʹtacii v Službe,6,2018,4
Medicinskie sëstry,Konsulʹtacii v Službe,7,2018,12
Patronažnaja sestra,Konsulʹtacii v Službe,7,2017,9
Patronažnaja sestra,Konsulʹtacii v Službe,8,2017,
Patronažnaja sestra,Konsulʹtacii v Službe,9,2017,
Patronažnaja sestra,Konsulʹtacii v Službe,10,2017,7
Patronažnaja sestra,Konsulʹtacii v Službe,11,2017,
Patronažnaja sestra,Konsulʹtacii v Službe,12,2017,
Patronažnaja sestra,Konsulʹtacii v Službe,1,2018,
Patronažnaja sestra,Konsulʹtacii v Službe,2,2018,
Patronažnaja sestra,Konsulʹtacii v Službe,3,2018,
Patronažnaja sestra,Konsulʹtacii v Službe,4,2018,
Patronažnaja sestra,Konsulʹtacii v Službe,5,2018,8
Patronažnaja sestra,Konsulʹtacii v Službe,6,2018,11
Patronažnaja sestra,Konsulʹtacii v Službe,7,2018,13
Koordinatory,Konsulʹtacii v Službe,7,2017,26
Koordinatory,Konsulʹtacii v Službe,8,2017,26
Koordinatory,Konsulʹtacii v Službe,9,2017,18
Koordinatory,Konsulʹtacii v Službe,10,2017,24
Koordinatory,Konsulʹtacii v Službe,11,2017,32
Koordinatory,Konsulʹtacii v Službe,12,2017,26
Koordinatory,Konsulʹtacii v Službe,1,2018,17
Koordinatory,Konsulʹtacii v Službe,2,2018,20
Koordinatory,Konsulʹtacii v Službe,3,2018,44
Koordinatory,Konsulʹtacii v Službe,4,2018,57
Koordinatory,Konsulʹtacii v Službe,5,2018,36
Koordinatory,Konsulʹtacii v Službe,6,2018,30
Koordinatory,Konsulʹtacii v Službe,7,2018,26
Socialʹnyj rabotnik,Konsulʹtacii v Službe,7,2017,
Socialʹnyj rabotnik,Konsulʹtacii v Službe,8,2017,
Socialʹnyj rabotnik,Konsulʹtacii v Službe,9,2017,11
Socialʹnyj rabotnik,Konsulʹtacii v Službe,10,2017,12
Socialʹnyj rabotnik,Konsulʹtacii v Službe,11,2017,12
Socialʹnyj rabotnik,Konsulʹtacii v Službe,12,2017,11
Socialʹnyj rabotnik,Konsulʹtacii v Službe,1,2018,9
Socialʹnyj rabotnik,Konsulʹtacii v Službe,2,2018,11
Socialʹnyj rabotnik,Konsulʹtacii v Službe,3,2018,11
Socialʹnyj rabotnik,Konsulʹtacii v Službe,4,2018,4
Socialʹnyj rabotnik,Konsulʹtacii v Službe,5,2018,8
Socialʹnyj rabotnik,Konsulʹtacii v Službe,6,2018,
Socialʹnyj rabotnik,Konsulʹtacii v Službe,7,2018,
Specilist po pitaniju,Konsulʹtacii v Službe,7,2017,4
Specilist po pitaniju,Konsulʹtacii v Službe,8,2017,4
Specilist po pitaniju,Konsulʹtacii v Službe,9,2017,5
Specilist po pitaniju,Konsulʹtacii v Službe,10,2017,2
Specilist po pitaniju,Konsulʹtacii v Službe,11,2017,4
Specilist po pitaniju,Konsulʹtacii v Službe,12,2017,10
Specilist po pitaniju,Konsulʹtacii v Službe,1,2018,7
Specilist po pitaniju,Konsulʹtacii v Službe,2,2018,
Specilist po pitaniju,Konsulʹtacii v Službe,3,2018,5
Specilist po pitaniju,Konsulʹtacii v Službe,4,2018,
Specilist po pitaniju,Konsulʹtacii v Službe,5,2018,4
Specilist po pitaniju,Konsulʹtacii v Službe,6,2018,
Specilist po pitaniju,Konsulʹtacii v Službe,7,2018,4
Psiholog,Konsulʹtacii v Službe,7,2017,
Psiholog,Konsulʹtacii v Službe,8,2017,
Psiholog,Konsulʹtacii v Službe,9,2017,
Psiholog,Konsulʹtacii v Službe,10,2017,
Psiholog,Konsulʹtacii v Službe,11,2017,
Psiholog,Konsulʹtacii v Službe,12,2017,
Psiholog,Konsulʹtacii v Službe,1,2018,
Psiholog,Konsulʹtacii v Službe,2,2018,
Psiholog,Konsulʹtacii v Službe,3,2018,4
Psiholog,Konsulʹtacii v Službe,4,2018,
Psiholog,Konsulʹtacii v Službe,5,2018,
Psiholog,Konsulʹtacii v Službe,6,2018,
Psiholog,Konsulʹtacii v Službe,7,2018,6
Logoped,Konsulʹtacii v Službe,7,2017,
Logoped,Konsulʹtacii v Službe,8,2017,
Logoped,Konsulʹtacii v Službe,9,2017,
Logoped,Konsulʹtacii v Službe,10,2017,
Logoped,Konsulʹtacii v Službe,11,2017,
Logoped,Konsulʹtacii v Službe,12,2017,
Logoped,Konsulʹtacii v Službe,1,2018,
Logoped,Konsulʹtacii v Službe,2,2018,
Logoped,Konsulʹtacii v Službe,3,2018,
Logoped,Konsulʹtacii v Službe,4,2018,
Logoped,Konsulʹtacii v Službe,5,2018,
Logoped,Konsulʹtacii v Službe,6,2018,
Logoped,Konsulʹtacii v Službe,7,2018,6
Svjaŝennik,Konsulʹtacii v Službe,7,2017,
Svjaŝennik,Konsulʹtacii v Službe,8,2017,
Svjaŝennik,Konsulʹtacii v Službe,9,2017,3
Svjaŝennik,Konsulʹtacii v Službe,10,2017,2
Svjaŝennik,Konsulʹtacii v Službe,11,2017,2
Svjaŝennik,Konsulʹtacii v Službe,12,2017,3
Svjaŝennik,Konsulʹtacii v Službe,1,2018,
Svjaŝennik,Konsulʹtacii v Službe,2,2018,2
Svjaŝennik,Konsulʹtacii v Službe,3,2018,2
Svjaŝennik,Konsulʹtacii v Službe,4,2018,
Svjaŝennik,Konsulʹtacii v Službe,5,2018,3
Svjaŝennik,Konsulʹtacii v Službe,6,2018,
Svjaŝennik,Konsulʹtacii v Službe,7,2018,
